icao,iata,name,callsign,country,active
DTY,,Destiny Air Services,DESTINY,Sierra Leone,N
DUB,,Dubai Airwing,DUBAI,United Arab Emirates,N
DUK,,Ducair,LION KING,Luxembourg,N
DUN,,Dun'Air,DUNAIR,Mauritania,N
DUO,,Duo Airways,FLY DUO,United Kingdom,N
DVA,DH,Discovery Airways,DISCOVERY AIRWAYS,United States,N
DVB,,Don Avia,DONSEBAI,Kazakhstan,N
DVI,,Aero Davinci International,AERO DAVINCI,Mexico,N
DWA,KP,Dense Airways,DENSE,United States,Y
DWD,DW,Deutsche Luftverkehrsgesellschaft (DLT),,Germany,N
DWN,,Dawn Air,DAWN AIR,United States,N
DWR,,Delaware Skyways,DELAWARE,United States,N
DWT,0D,Darwin Airline,DARWIN,Switzerland,Y
DWW,,Jet Courier Service,DON JUAN,United States,N
DXH,,East Star Airlines,EAST STAR,China,N
DXP,,Dallas Express Airlines,DALLAS EXPRESS,United States,N
DXT,,Dexter (DXT),Dexter,Russia,N
DYA,,Dynamic Airways,,United States,Y
DYE,,Dynamic Air,DYNAMIC,Netherlands,N
DYN,,Aero Dynamics,AERO DYNAMIC,United States,N
EAA,,Eastok Avia,,Kyrgyzstan,Y
EAB,,Swiss Eagle,SWISS EAGLE,Switzerland,N
EAC,,Executive Air Charter,EXECAIR,United States,N
EAD,,EAA Escola De Aviacao Aerocondor,AERO-ESCOLA,Portugal,N
EAE,,Aeroservicios Ecuatorianos,AECA,Ecuador,N
EAF,E7,European Aviation Air Charter,EUROCHARTER,United Kingdom,N
EAG,,European Aeronautical Group UK,,United Kingdom,N
EAH,,Baltimore Airways,EASTERN,United States,N
EAI,,Elite Air,ELAIR,Togo,N
EAK,,Euro-Asia Air,EAKAZ,Kazakhstan,N
EAL,EA,European Air Express,STAR WING,Germany,Y
EAM,,Embassy Airlines,EMBASSY AIR,Nigeria,N
EAN,,Skypower Express Airways,NIGERIA EXPRESS,Nigeria,N
EAP,,Aero-Pyrenees,AERO-PYRENEES,France,N
EAQ,,Eastern Australia Airlines,,Australia,N
EAR,,Transporte Ejecutivo Aereo,EJECUTIVO-AEREO,Mexico,N
EAS,,Executive Aerospace,AEROSPACE,South Africa,N
EAT,,Air Transport,TRANS EUROPE,Slovakia,N
EAV,13,Eastern Atlantic Virtual Airlines,EAVA,United States,Y
EAX,,Eastern Air Executive,EASTEX,United Kingdom,N
EAY,EE,Aero Airlines,REVAL,Estonia,N
EAZ,,Eastern Air,EASAIR,Zambia,N
EBA,,Bond Aviation,BOND AVIATION,Italy,N
EBC,,Aero Ejecutivo De Baja California,CALIXJET,Mexico,N
EBE,,Minebea Technologies,MINEBEA,United States,N
EBF,,MSR Flug-Charter,SKYRUNNER,Germany,N
EBG,,Eurosense,EUROSENSE,Bulgaria,N
EBJ,,European Business Jets,,United Kingdom,N
ECA,UI,Eurocypria Airlines,EUROCYPRIA,Cyprus,Y
ECB,,European Coastal Airlines,COASTAL CLIPPER,Croatia,N
ECC,QE,Crossair Europe,Cigogne,Switzerland,N
ECD,,Ecotour,ECOTOUR,Mexico,N
ECE,4F,Air City,AIRCITY,Germany,N
ECF,,Eurocopter,EUROCOPTER,France,N
ECG,,Aero Ejecutivos RCG,EJECTUIVOS RCG,Mexico,N
ECI,,Eastern Carolina Aviation,EASTERN CAROLINA,United States,N
ECJ,,East Coast Jets,EASTCOAST JET,United States,N
ECL,,Aeronautica Castellana,AERO CASTELLANA,Spain,N
ECM,,Aerolineas Comerciales,AERO COMERCIALES,Mexico,N
ECN,,Euro Continental AIE,EURO CONTINENTAL,Spain,N
ECQ,,Eco Air,SKYBRIDGE,Nigeria,N
ECS,,Executive Aircraft Charter and Charter Services,ECHO,Ireland,N
ECT,,East Coast Airways,EASTWAY,South Africa,N
ECU,,Ecuavia,ECUAVIA,Ecuador,Y
ECV,,Ecuatoguineana De Aviacion (EGA),EQUATOGUINEA,Equatorial Guinea,N
ECX,,Ecomex Air Cargo,AIR ECOMEX,Angola,N
ECY,,Euroceltic Airways,ECHELON,United Kingdom,N
EDA,,Aerolineas Nacionales Del Ecuador,ANDES,Ecuador,N
EDC,,Edinburgh Air Charter,SALTIRE,United Kingdom,N
EDD,,Lineas Aereas Ejectuivas De Durango,LINEAS DURANGO,Mexico,N
EDI,,Eastern Atlantic Charters,,United States,N
EDJ,,Edwards Jet Center of Montana,EDWARDS,United States,N
EDL,,Polizeihubschrauberstaffel Bayern,POLICE EDELWEISS,Germany,N
EDO,,Elidolomiti,ELIDOLOMITI,Italy,N
EDR,,Lineas Aereas Eldorado,ELDORADRO,Colombia,N
EDW,WK,Edelweiss Air,EDELWEISS,Switzerland,Y
EEA,EU,Empresa Ecuatoriana De Aviacion,ECUATORIANA,Ecuador,Y
EET,,Air Este,AESTE,Spain,N
EEU,GJ,Eurofly Service,EUROFLY,Italy,Y
EEZ,,Eurofly,E-FLY,Italy,N
EFA,EF,Far Eastern Air Transport,Far Eastern,Taiwan,Y
EFC,,Air Mana,FLIGHT TAXI,France,N
EFD,,EFD Eisele Flugdienst,EVER FLIGHT,Germany,N
EFG,,Elifriulia,ELIFRIULIA,Italy,N
EFS,,EFAOS- Agencia De Viagens e Turismo,EFAOS,Angola,N
EFT,,Embassy Freight Company,EMBASSY FREIGHT,United States,N
EFY,,EasyFly,EASYFLY,Colombia,Y
EGF,MQ,American Eagle Airlines,EAGLE FLIGHT,United States,Y
EGH,,BBN-Airways,BBN,United Kingdom,Y
EGJ,,Eagle Jet Charter,EAGLE JET,United States,N
EGL,,Capital Trading Aviation,PRESTIGE,United Kingdom,N
EGN,,Eagle Aviation France,FRENCH EAGLE,France,N
EGO,,Gauteng Air Cargo,GAUTENG,South Africa,N
EGR,,Eagle Air,EAGLE SIERRA,Sierra Leone,N
EGS,,Eagles Airlines,EAGLES,Italy,Y
EGU,,Eagle Aviation,AFRICAN EAGLE,Uganda,N
EGV,,Enrique Gleisner Vivanco,GLEISNER,Chile,N
EGX,,Eagle Air Company,THAI EAGLE,Thailand,N
EGY,,Egyptian Air Force,,Egypt,N
EHA,,East Hampton Aire,AIRE HAMPTON,United States,N
EHD,,E H Darby Aviation,PLATINUM AIR,United States,N
EHM,EH,Euro Harmony,,Portugal,N
EHN,,East Horizon,EAST HORIZON,Afghanistan,Y
EHR,,Valfell-Verkflug,ROTOR,Iceland,N
EIA,EZ,Evergreen International Airlines,EVERGREEN,United States,Y
EIC,,Express International Cargo,EXCARGO,S,N
EIJ,,Efata Papua Airlines,EFATA,Indonesia,N
EIN,EI,Aer Lingus,SHAMROCK,Ireland,Y
EIR,,Eirjet,EIRJET,Ireland,N
EIS,,EIS Aircraft,COOL,Germany,N
EIX,,Ei Air Exports,AIR EXPORTS,Ireland,N
EJA,1I,NetJets,EXECJET,United States,Y
EJC,,Grupo De Aviacion Ejecutiva,GRUPOEJECUTIVA,Mexico,N
EJD,,Elite Jets,ELITE DUBAI,United Arab Emirates,N
EJM,,Executive Jet Management,JET SPEED,United States,N
EJO,,Execujet Middle East,MIDJET,United Arab Emirates,N
EJP,,Aeroservicios Ejecutivos Corporativos,EJECCORPORATIVOS,Mexico,N
EJS,,Eurojet Servis,EEJAY SERVICE,Czech Republic,N
EJT,,Eclipse Aviation,ECLIPSE JET,United States,N
EJV,,Compania Ejecutiva,EJECUTIVA,Mexico,N
EJX,,Egyptian Aviation,,Egypt,N
EKA,,Equaflight Service,EQUAFLIGHT,Republic of the Congo,N
EKC,,East Kansas City Aviation,BLUE GOOSE,United States,N
ELA,DK,Eastland Air,,Australia,Y
ELB,,Elieuro,ELILOBARDIA,Italy,N
ELC,,Small Planet Airlines,,Lithuania,Y
ELG,E8,Alpi Eagles,ALPI EAGLES,Italy,N
ELH,,Elilario Italia,LARIO,Italy,N
ELJ,,Delta Air Elite,ELITE JET,United States,N
ELK,--,ELK Airways,,Estonia,Y
ELL,OV,Estonian Air,ESTONIAN,Estonia,Y
ELM,,Crelam,CRELAM,Mexico,N
ELO,K2,Eurolot,EUROLOT,Poland,Y
ELR,,Elrom Aviation and Investments,,Israel,N
ELS,,El Sal Air,EL SAL,El Salvador,N
ELT,,Elliott Aviation,ELLIOT,United States,N
ELV,,Transportes Aereos Nacionales De Selva Tans,AEREOS SELVA,Peru,N
ELW,,Yellow Wings Air Services,YELLOW WINGS,Kenya,N
ELX,,Elan Express,ELAN,United States,N
ELY,LY,El Al Israel Airlines,ELAL,Israel,Y
EMA,,Egyptian Aviation Company,,Egypt,N
EMB,,Empresa Brasileira De Aeronautica,EMBRAER,Brazil,N
EMD,,Eaglemed (Ballard Aviation),EAGLEMED,United States,N
EME,,Eastern Metro Express,EMAIR,United States,N
EMI,,Premium Air Shuttle,BLUE SHUTTLE,Nigeria,N
EMN,,Examiner Training Agency,AGENCY,United Kingdom,N
EMP,,Empire Air Service,EMPIRE,United States,N
EMR,,Zenmour Airlines,ZENMOUR,Mauritania,N
EMS,,Aero Servicios Empresariales,SERVIEMPRESARIAL,Mexico,N
EMT,,Emetebe,EMETEBE,Ecuador,N
EMU,,East Asia Airlines,,Macao,N
EMX,3W,Euromanx Airways,EUROMANX,Austria,N
ENA,,Direccion General de Aviacion Civil y Telecomunicasciones,ENA,Spain,N
ENC,,Endecots,ENDECOTS,Ecuador,N
END,,Arrendoora y Transportadora Aerea,ARRENDADORA,Mexico,N
ENI,,Enimex,ENIMEX,Estonia,N
ENJ,,Enerjet,ENERJET AIR,Canada,Y
ENK,G8,Enkor JSC,ENKOR,Russia]],N
ENR,,Scenic Air,,Namibia,N
ENS,,Entergy Services,ENTERGY SHUTTLE,United States,N
ENT,,DAT Enterprise Limited,DATENT,United Kingdom,N
ENV,,Victoria Aviation,ENDEAVOUR,United Kingdom,N
ENW,,Aeronaves Del Noroeste,AERONOR,Spain,N
ENY,,Envoy Air,Envoy,United States,Y
ENZ,,Jota Aviation,ENZO,United Kingdom,Y
EOA,,Elilombarda,LOMBARDA,Italy,N
EOL,,Airailes,EOLE,France,N
EOM,,Aero Ermes,AERO ERMES,Mexico,N
EOS,,Eliossola,ELIOSSOLA,Italy,N
EPA,,Shenzhen Donghai Airlines,DONGHAI AIR,China,N
EPB,,Eastern Pacific Aviation,EAST PAC,Canada,N
EPC,,Espace Aviation Services,ESPACE,Democratic Republic of the Congo,N
EPE,,Aero Empresarial,AEROEMPRESARIAL,Mexico,N
EPL,,Aero Transportes Empresariales,EMPRESARIALES,Mexico,N
EPS,,Epps Air Service,EPPS AIR,United States,N
EQC,,Ecuatorial Cargo,ECUA-CARGO,Equatorial Guinea,N
EQL,KY,Air S,EQUATORIAL,Air S,N
EQT,,Equatorial Airlines,,Equatorial Guinea,N
EQZ,,Equatair Air Services (Zambia),ZAMBIA CARGO,Zambia,N
ERC,,Esso Resources Canada,ESSO,Canada,N
ERE,,Erie Airways,AIR ERIE,United States,N
ERF,,Erfoto,ERFOTO,Portugal,N
ERG,,Avianergo,AVIANERGO,Russia,N
ERH,,Era Helicopters,ERAH,United States,N
ERI,,Aero Servicios Regiomontanos,ASERGIO,Mexico,N
ERJ,,Eurojet Italia,JET ITALIA,Italy,N
ERK,,Aerosec,AEROSEC,Chile,N
ERM,,Aeromaan,EOMAAN,Mexico,N
ERO,7L,Sun D'Or,ECHO ROMEO,Israel,Y
ERR,7H,Era Alaska,ERAH,United States,Y
ERT,B8,Eritrean Airlines,ERITREAN,Eritrea,Y
ERV,,Yerevan-Avia,YEREVAN-AVIA,Armenia,N
ERX,,Earth Airlines Services,EARTH AIR,Nigeria,N
ESB,,Aerosaba,AEROSABA,Mexico,N
ESC,,El Sol De America,SOLAMERICA,Venezuela,N
ESE,,Ensenada Vuelos Especiales,ENSENADA ESPECIAL,Mexico,N
ESF,E7,Estafeta Carga Aerea,,Mexico,N
ESI,,ESI Eliservizi Italiani,ELISERVIZI,Italy,N
ESJ,,Eastern Sky Jets,EASTERN SKYJETS,United Arab Emirates,N
ESK,NE,SkyEurope,RELAX,Slovakia,Y
ESL,P7,Russian Sky Airlines,RADUGA,Russia,N
ESN,,Euro Sun,EURO SUN,Turkey,N
ESO,,Avitat,,United Kingdom,N
ESR,ZE,Eastar Jet,Eastar,South Korea,Y
ESS,E0,Eos Airlines,NEW DAWN,United States,N
EST,,Carga Express Internacional,CARGAINTER,Mexico,N
ESU,,Aerolineas Ejecutivas Del Sureste,ALESUR,Mexico,N
ESX,,Euroskylink,CATFISH,United Kingdom,N
ESZ,,Aeronautica Le Esperanza,ESPERANZA,Mexico,N
ETA,,Estrellas Del Aire,ESTRELLAS,Mexico,N
ETC,,ATTICO,TRANATTICO,Sudan,N
ETD,EY,Etihad Airways,ETIHAD,United Arab Emirates,Y
ETE,,Aero Siete,AEROSIETE,Mexico,N
ETH,ET,Ethiopian Airlines,ETHIOPIAN,Ethiopia,Y
ETL,,Patterson Aviation Company,ENTEL,United States,N
ETM,,Etram Air Wing,ETRAM,Angola,N
ETN,,Chim-Nir Aviation,CHMINIR,Israel,N
ETP,,Empire Test Pilots' School,TESTER,United Kingdom,N
ETS,,Flygtransporter I Nykoping,EXTRANS,Sweden,N
ETV,,European Executive,EURO EXEC,United Kingdom,N
EUC,,Eurocontrol,,Belgium,N
EUD,,Air Italy Egypt,,Egypt,Y
EUG,,Euroguineana de Aviacion,EUROGUINEA,Equatorial Guinea,N
EUJ,VE,EUjet,UNION JET,Ireland,N
EUK,,Air Atlanta Europe,SNOWBIRD,United Kingdom,N
EUP,,Euroair,EUROSTAR,Greece,N
EUT,,European 2000 Airlines,FIESTA,Malta,N
EUU,,Euroamerican Air,EUROAMERICAN,Uruguay,N
EUV,ES,EuropeSky,EuropeSky,Germany,Y
EUY,,EU Airways,EUROAIRWAYS,Ireland,N
EVA,BR,EVA Air,EVA,Taiwan,Y
EVC,,Comfort Express Virtual Charters Albany,Comfort Express,United States,Y
EVE,,Air Evex,SUNBEAM,Germany,N
EVM,,Natural Environment Research Council,SCIENCE,United Kingdom,N
EVN,,Euraviation,EURAVIATION,Italy,N
EVR,,Aeronautical Academy of Europe,DIANA,Portugal,N
EWA,,East-West Airlines,EASTWEST,Australia,N
EWG,EW,Eurowings,EUROWINGS,Germany,Y
EWS,,Enterprise World Airways,WORLD ENTERPRISE,Democratic Republic of the Congo,N
EWW,,Emery Worldwide Airlines,EMERY,United States,N
EXA,MB,Execair Aviation,CANADIAN EXECAIRE,Canada,N
EXB,,Brazilian Army Aviation,BRAZILIAN ARMY,Brazil,N
EXC,,European Executive Express,ECHO EXPRESS,Sweden,N
EXE,,Executive Flight,EXEC,United States,N
EXF,,Eximflight,EXIMFLIGHT,Mexico,N
EXG,,Air Exchange,EXCHANGE,United States,N
EXH,,G5 Executive,BATMAN,Germany,N
EXJ,,Executive Jet Charter,,United Kingdom,N
EXK,OW,Executive Airlines,EXECUTIVE EAGLE,United States,N
EXL,CQ,Sunshine Express Airlines,,Australia,N
EXM,,United Kingdom Civil Aviation Authority,EXAM,United Kingdom,N
EXN,,Exin,EXIN,Poland,N
EXP,,Business Express Delivery,EXPRESS AIR,Canada,N
EXR,,Expertos En Carga,EXPERTOS ENCARGA,Mexico,N
EXS,LS,Jet2.com,CHANNEX,United Kingdom,Y
EXT,,Night Express,EXECUTIVE,Germany,N
EXU,,Executive Airlines,SACAIR,Spain,N
EXV,8D,Expo Aviation,EXPOAVIA,Sri Lanka,N
EXW,,Executive Airlines Services,ECHOLINE,Nigeria,N
EXX,,International Air Corporation,EXPRESS INTERNATIONAL,United States,N
EXY,,South African Express,EXPRESSWAYS,South Africa,N
EXZ,,East African Safari Air Express,TWIGA,Kenya,N
EYE,,F.S. Air Service,SOCKEYE,United States,N
EZA,,Eznis Airways,EZNIS,Mongolia,Y
EZB,,Flugschule Eichenberger,EICHENBURGER,Switzerland,N
EZE,T3,Eastern Airways,EASTFLIGHT,United Kingdom,Y
EZY,U2,easyJet,EASY,United Kingdom,Y
FAB,7F,First Air,,Canada,Y
FAC,,Atlantic Helicopters,FAROECOPTER,Denmark,N
FAD,,Rog-Air,AIR FRONTIER,Canada,N
FAE,,Freshaer,WILDGOOSE,United Kingdom,N
FAF,,Force Aerienne Francaise,FRENCH AIR FORCE,France,N
FAG,,Argentine Air Force,FUAER,Argentina,N
FAH,,Farnair Hungary,BLUE STRIP,Hungary,N
FAJ,PC,Air Fiji,FIJIAIR,Fiji,N
FAK,,Financial Airxpress,FACTS,United States,N
FAL,,Friendship Air Alaska,FRIENDSHIP,United States,N
FAM,,Fumigacion Aerea Andaluza,FAASA,Spain,N
FAN,,AF-Air International,FANBIRD,Angola,N
FAO,,Falcon Air Express,PANTHER,United States,N
FAP,,Parsons Airways Northern,,Canada,N
FAR,,Falcon Air,FALCAIR,Slovenia,N
FAS,,Freedom Airways,FREEDOM AIRWAYS,Cyprus,N
FAT,,Farnair Switzerland,FARNER,Switzerland,N
FAU,,Falcon Airline,FALCON AIRLINE,Nigeria,N
FAV,,Fair Aviation,FAIRAVIA,South Africa,N
FAW,,Falwell Aviation,FALWELL,United States,N
FAX,,Midwest Air Freighters,FAIRFAX,United States,N
FAY,,Fayban Air Services,FAYBAN AIR,Nigeria,N
FAZ,,Flint Aviation Services,FLINT AIR,United States,N
FBA,,Fab Air,FAB AIR,Kyrgyzstan,N
FBF,,Fine Airlines,FINE AIR,United States,N
FBL,F1,Fly Brasil,FBL,Brazil,Y
FBO,,TAG Farnborough Airport,,United Kingdom,N
FBW,,Aviation Data Systems,,United States,N
FCA,DP,First Choice Airways,JETSET,United Kingdom,Y
FCB,,COBALT,COBALT,Cyprus,Y
FCC,,First Cambodia Airlines,FIRST CAMBODIA,Cambodia,N
FCE,,Flycolumbia,FLYCOLUMBIA,Spain,N
FCI,,Air Carriers,FAST CHECK,United States,N
FCK,,Flight Calibration Service,NAV CHECKER,Germany,N
FCL,PA,Florida Coastal Airlines,FLORIDA COASTAL,United States,N
FCM,,Flybe Finland Oy,FINNCOMM,Finland,Y
FCN,,Falcon Air,FALCON,Sweden,N
FCO,,Aerofrisco,AEROFRISCO,Mexico,N
FCP,,Flight Corporation,FLIGHTCORP,New Zealand,N
FCR,,Flying Carpet Company,FLYING CARPET,Lebanon,N
FCS,,Facts Air,MEXFACTS,Mexico,N
FCT,,Fly CI Limited,DEALER,United Kingdom,N
FCU,,Alfa 4,,Mexico,N
FCV,,Flight Centre Victoria,NAVAIR,Canada,N
FDA,,African Airlines,AIR SANKORE,Mali,N
FDB,FZ,Fly Dubai,,United Arab Emirates,Y
FDD,,Feeder Airlines,,Sudan,Y
FDF,,IVV Femida,,Russia,N
FDL,,Farmingdale State University,FARMINGDALE STATE,United States,N
FDN,,Flying Dolphin Airlines,FLYING DOLPHIN,United Arab Emirates,N
FDO,,France Douanes,FRENCH CUSTOM,France,N
FDP,,Flight Dispatch Services,,Poland,N
FDR,,Federal Air,FEDAIR,South Africa,N
FDS,,African Medical and Research Foundation,FLYDOC,Kenya,N
FDX,FX,Federal Express,FEDEX,United States,N
FEC,,Denver Express,FALCON EXPRESS,United States,N
FED,,Lineas Aereas Federales,FEDERALES,Argentina,N
FEE,,Fly Europa Limited,FLY EURO,United Kingdom,N
FEG,,FlyEgypt,,Egypt,Y
FEI,,Eagle Air Iceland,ARCTIC EAGLE,Iceland,N
FEO,,Aeroferinco,FERINCO,Mexico,N
FER,,Feria Aviacion,FERIA,Spain,N
FES,,Aero Taxis Y Servicios Alfe,AERO ALFE,Mexico,N
FEX,,Flightexec,FLIGHTEXEC,Canada,N
FFA,,Avialesookhrana,AVIALESOOKHRANA,Russia,N
FFB,,Africair Service,FOXTROT FOXTROT,Senegal,N
FFC,,Fairoaks Flight Centre,FAIROAKS,United Kingdom,N
FFD,,Stuttgarter Flugdienst,FIRST FLIGHT,Germany,N
FFF,,Freedom Air Services,INTER FREEDOM,Nigeria,N
FFG,,Flugdienst Fehlhaber,WITCHCRAFT,Germany,N
FFH,,Shalom Air Services,PEACE AIR,Nigeria,N
FFI,,Infinit Air,INFINIT,Spain,N
FFL,,Intavia Limited,,United Kingdom,N
FFM,FY,Firefly,FIREFLY,Malaysia,Y
FFP,,Fischer Air Polska,FLYING FISH,Poland,N
FFR,8F,Fischer Air,FISCHER,Czech Republic,N
FFS,,Florida Department of Agriculture,FORESTRY,United States,N
FFT,F9,Frontier Airlines,FRONTIER FLIGHT,United States,Y
FFU,,GEC Marconi Avionics,FERRANTI,United Kingdom,N
FFV,5H,Fly540,SWIFT TANGO,Kenya,Y
FFY,,Fun Flying Thai Air Service,FUN FLYING,Thailand,N
FGA,,Georgian Aviation Federation,GEORGIA FED,Georgia,N
FGC,,Departmento De Agricultura De La Generalitat De Cataluna,FORESTALES,Spain,N
FGL,,Futura Gael,Applewood,Ireland,N
FGN,,Gendarmie Nationale,FRANCE GENDARME,France,N
FGP,,Flying-Research Aerogeophysical Center,FLYING CENTER,Russia,N
FGS,,Elitellina,ELITELLINA,Italy,N
FGT,,Aero Freight,FREIAERO,Mexico,N
FGY,,Froggy Corporate Aviation,,Australia,N
FHE,HW,Hello,FLYHELLO,Switzerland,Y
FHI,FH,FlyHigh Airlines Ireland (FH),FLYHIRELAND,Ireland,Y
FHL,,Fast Helicopters,FINDON,United Kingdom,N
FHS,,Forth and Clyde Helicopter Services,HELISCOT,United Kingdom,N
FHY,,Free Bird Airlines,FREE BIRD,Turkey,N
FIA,,Four Island Air,ISLANDAIR,Antigua and Barbuda,N
FIC,,Aerosafin,AEROSAFIN,Mexico,N
FIF,OF,Air Finland,AIR FINLAND,Finland,Y
FII,,Aerodata Flight Inspection,FLIGHT CHECKER,Germany,N
FIL,,Fly Line,FLYLINE,Spain,N
FIN,AY,Finnair,FINNAIR,Finland,Y
FIR,,First Line Air,FIRSTLINE AIR,Sierra Leone,N
FIV,,Citationshares,FIVE STAR,United States,N
FIX,,Airfix Aviation,AIRFIX,Finland,Y
FJC,,Falcon Jet Centre,FALCONJET,United Kingdom,N
FJE,,Silverjet,ENVOY,United Kingdom,N
FJI,FJ,Air Pacific,PACIFIC,Fiji,Y
FJM,,Fly Jamaica Airways,Greenheart,Jamaica,Y
FJS,,Florida Jet Service,FLORIDAJET,United States,N
FKA,,Flying kangaroo Airline,Skippy,Australia,Y
FKI,,FLM Aviation Mohrdieck,KIEL AIR,Germany,N
FKL,,Kelner Airways,KELNER,Canada,N
FKS,,Focus Air,FOCUS,United States,N
FLA,,Midway Express,PALM,United States,N
FLB,,German Air Force - FLB,FLB,Germany,Y
FLC,,FINFO Flight Inspection Aircraft,FLIGHT CHECK,United States,N
FLD,,Air Falcon,,Pakistan,N
FLE,,Flair Airlines,FLAIR,Canada,N
FLF,,Friendship Airlines,FRIEND AIR,Uganda,N
FLG,9E,Pinnacle Airlines,FLAGSHIP,United States,Y
FLH,,Sky Bus,MILE HIGH,United States,N
FLI,RC,Atlantic Airways,FAROELINE,Faroe Islands,Y
FLK,,Flylink Express,FLYLINK,Spain,N
FLL,,Federal Airlines,FEDERAL AIRLINES,Sweden,N
FLM,F2,Fly Air,FLY WORLD,Turkey,N
FLN,,Flamingo Air-Line,ILIAS,Kazakhstan,N
FLO,,Flycom,FLYCOM,Slovenia,N
FLP,,Aeroclub Flaps,AEROCLUB FLAPS,Spain,N
FLR,,Fleetair,FLEETAIR,South Africa,N
FLS,,Fairlines,FAIRLINE,Netherlands,N
FLT,B5,Flightline,FLIGHTLINE,United Kingdom,Y
FLU,,Flugschule Basel,YELLOW FLYER,Switzerland,N
FLW,,FLowair Aviation,QUICKFLOW,France,N
FLX,,Flight Express,FLIGHT EXPRESS,United States,N
FLY,SH,Fly Me Sweden,FLYBIRD,Sweden,N
FLZ,QH,Air Florida,AIR FLORIDA,United States,Y
FMC,,Claessens International Limited,CLAESSENS,United Kingdom,N
FMG,,FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt,HUSKY,Germany,N
FMR,,Flamingo Air,FLAMINGO AIR,United States,N
FMS,,Hadison Aviation,HADI,United States,N
FMT,,Air Fret De Mauritanie,,Mauritania,N
FMY,,Aviation Legere De L'Armee De Terre,FRENCH ARMY,France,N
FNA,,Norlandair,NORLAND,Iceland,Y
FNC,4S,Finalair Congo,FINALAIR CONGO,Republic of the Congo,N
FNF,,Finnish Air Force,FINNFORCE,Finland,N
FNG,,Frontier Guard,FINNGUARD,Finland,N
FNK,,Feniks Airline,AURIKA,Kazakhstan,N
FNL,,Oulun Tilauslento,FINN FLIGHT,Finland,N
FNM,,Avio Nord,,Italy,N
FNO,,Aeroflota Del Noroeste,RIAZOR,Spain,N
FNT,,L-3 Communications Flight Internation Aviation,FLIGHT INTERNATIONAL,United States,N
FNV,,Transaviaservice,TRANSAVIASERVICE,Georgia,N
FNX,,Aero Fenix,AERO FENIX,France,N
FNY,,France Marine Nationale,FRENCH NAVY,France,N
FOB,,Ford Motor Company,FORDAIR,United Kingdom,N
FOC,,Office Federal De'Aviation Civile,FOCA,Switzerland,N
FOF,,Fred. Olsen,,Norway,N
FOI,,Flight Ops International,,United States,N
FOM,,Freedom Air,FREE AIR,New Zealand,N
FOP,,Fokker,,Netherlands,N
FOR,,Formula One Management,FORMULA,United Kingdom,N
FOS,VY,Formosa Airlines,,Taiwan,Y
FOX,FX,FOX Linhas Aereas,,Brazil,Y
FPA,,Flygprestanda,,Sweden,N
FPG,,TAG Aviation,TAG AVIATION,Switzerland,N
FPO,,Europe Airpost,FRENCH POST,France,N
FPR,,Peruvian Air Force,,Peru,N
FPS,,Flightpass Limited,FLIGHTPASS,United Kingdom,N
FPT,PO,FlyPortugal,FlyPortugal,Portugal,Y
FPY,,African Company Airlines,AFRICOMPANY,Democratic Republic of the Congo,N
FQR,WL,CheapFlyingInternational,cheapflying,France,N
FRA,,FR Aviation,RUSHTON,United Kingdom,N
FRC,,Icare Franche Compte,FRANCHE COMPTE,France,N
FRD,,Ford Motor Company,FORD,United States,N
FRE,FP,Freedom Air,FREEDOM,United States,Y
FRF,FF,Fly France,,France,Y
FRG,,Freight Runners Express,FREIGHT RUNNERS,United States,N
FRJ,,Afrijet Airlines,AFRIJET,Nigeria,N
FRK,,Afrika Aviation Handlers,AFRIFAST,Kenya,N
FRL,,Freedom Airlines,FREEDOM AIR,United States,Y
FRM,,Federal Armored Service,FEDARM,United States,N
FRN,,Farnair Netherlands,FARNED,Netherlands,N
FRQ,,Afrique Chart'air,CHARTER AFRIQUE,Cameroon,N
FRR,,Fresh Air,FRESH AIR,Nigeria,N
FRT,,Aerofreight Airlines,,Russia,N
FRW,,Farwest Airlines,FARWEST,United States,N
FSA,,Foster Aviation,FOSTER-AIR,United States,N
FSB,,FSB Flugservice & Development,SEABIRD,Germany,N
FSC,HK,Four Star Aviation / Four Star Cargo,FOUR STAR,United States,N
FSD,,EFS-Flugservice,FLUGSERVICE,Germany,N
FSH,,Flash Airlines,FLASH,Egypt,N
FSL,,Flight Safety Limited,FLIGHTSAFETY,United Kingdom,N
FSR,,Flightstar Corporation,FLIGHTSTAR,United States,N
FST,,Aereos Limited,FAST TRACK,United Kingdom,N
FSU,,Flight Support Sweden,,Sweden,N
FSW,F3,Faso Airways,FASO,Burkina Faso,N
FSX,,Flagship Express Services,FLAG,United States,N
FTA,2F,Frontier Flying Service,FRONTIER-AIR,United States,Y
FTC,,Air Affaires Tchad,AFFAIRES TCHAD,Chad,N
FTE,,Fotografia F3,FOTOGRAFIA,Spain,N
FTI,,FTI Fluggesellschaft,,Germany,N
FTM,,Flyteam Aviation,FLYTEAM,United Kingdom,N
FTP,,Keystone Aerial Surveys,FOOTPRINT,United States,N
FTR,,Finist'air,FINISTAIR,France,N
FTS,,First Sabre,FIRST SABRE,Mexico,N
FTY,,ABC Bedarsflug,FLY TYROL,Austria,N
FUA,FH,Futura International Airways,FUTURA,Spain,N
